日期,产品,区域,销量,单价,销售额
2024-08-31,耳机,华南,460,1149,528540
2024-08-31,键盘,华中,59,4811,283849
2024-08-31,键盘,华北,172,2064,355008
2024-08-31,键盘,西南,402,6227,2503254
2024-08-31,显示器,华南,185,2570,475450
2024-08-31,显示器,华中,381,3955,1506855
2024-08-31,显示器,华北,179,293,52447
2024-09-30,笔记本电脑,西南,332,2315,768580
2024-09-30,笔记本电脑,华东,197,6365,1253905
2024-09-30,笔记本电脑,华南,352,544,191488
2024-09-30,手机,华中,153,1183,180999
2024-09-30,手机,华东,160,1026,164160
2024-09-30,手机,华南,220,3730,820600
2024-09-30,平板,华北,342,6158,2106036
2024-09-30,平板,华南,176,3376,594176
2024-09-30,平板,华东,141,6223,877443
2024-09-30,耳机,西南,346,3996,1382616
2024-09-30,耳机,华中,316,1991,629156
2024-09-30,耳机,华南,351,5931,2081781
2024-09-30,键盘,华东,231,3229,745899
2024-09-30,键盘,华北,362,3271,1184102
2024-09-30,键盘,西南,368,4220,1552960
2024-09-30,显示器,华南,480,7311,3509280
2024-09-30,显示器,华东,358,8592,3075936
2024-09-30,显示器,华中,485,6655,3227675
2024-10-31,笔记本电脑,西南,112,735,82320
2024-10-31,笔记本电脑,华北,139,8172,1135908
2024-10-31,笔记本电脑,华东,435,8269,3597015
2024-10-31,手机,西南,66,6982,460812
2024-10-31,手机,华东,476,9345,4448220
2024-10-31,手机,华中,413,1404,579852
2024-10-31,平板,西南,393,6519,2561967
2024-10-31,平板,华中,334,4956,1655304
2024-10-31,平板,华南,203,5787,1174761
2024-10-31,耳机,西南,410,887,363670
2024-10-31,耳机,华南,197,3900,768300
2024-10-31,耳机,华中,391,5381,2103971
2024-10-31,键盘,华南,306,1958,599148
2024-10-31,键盘,华北,190,9380,1782200
2024-10-31,键盘,华东,264,2681,707784
2024-10-31,显示器,华东,81,2916,236196
2024-10-31,显示器,华南,334,4723,1577482
2024-10-31,显示器,华中,335,7510,2515850
2024-11-30,笔记本电脑,华中,420,6844,2874480
2024-11-30,笔记本电脑,西南,162,5996,971352
2024-11-30,笔记本电脑,华东,484,5125,2480500
2024-11-30,手机,华南,408,5072,2069376
2024-11-30,手机,华北,415,6504,2699160
2024-11-30,手机,华中,429,253,108537
2024-11-30,平板,华北,398,1031,410338
2024-11-30,平板,华东,362,6153,2227386
2024-11-30,平板,华南,492,8718,4289256
2024-11-30,耳机,华南,100,7975,797500
2024-11-30,耳机,西南,141,3253,458673
2024-11-30,耳机,华中,313,8169,2556897
2024-11-30,键盘,华中,447,1021,456387
2024-11-30,键盘,华南,481,6349,3053869
2024-11-30,键盘,华东,379,9165,3473535
2024-11-30,显示器,华南,161,3651,587811
2024-11-30,显示器,西南,452,1507,681164
2024-11-30,显示器,华中,237,4376,1037112
2024-12-31,笔记本电脑,华中,453,3793,1718229
2024-12-31,笔记本电脑,西南,283,1608,455064
2024-12-31,笔记本电脑,华北,244,4765,1162660
2024-12-31,手机,华南,471,1478,696138
2024-12-31,手机,华北,271,7282,1973422
2024-12-31,手机,华东,404,5818,2350472
2024-12-31,平板,华北,207,2878,595746
2024-12-31,平板,西南,108,8372,904176
2024-12-31,平板,华东,264,4422,1167408
2024-12-31,耳机,西南,63,2798,176274
2024-12-31,耳机,华中,499,8627,4304873
2024-12-31,耳机,华北,330,7567,2497110
2024-12-31,键盘,华东,78,9195,717210
2024-12-31,键盘,华中,124,7180,890320
2024-12-31,键盘,西南,195,5674,1106430
2024-12-31,显示器,华北,214,7340,1570760
2024-12-31,显示器,华中,427,1821,777567
2024-12-31,显示器,西南,166,8240,1367840
